统计范围,板块,方向,龙头识别数量,有跟随品种的识别数量,有后续小时样本数,后续同向样本数,后续同向比例,平均下一小时方向收益,方向收益中位数
整体,全部,全部,93,93,103,56,0.5436893204,-0.0005927949,0.0001076999
板块方向,新能源材料,下跌,3,3,3,2,0.6666666667,-0.0069136831,0.0017922178
板块方向,有色基本金属,上涨,16,16,16,9,0.5625000000,-0.0003048340,0.0000758254
板块方向,有色基本金属,下跌,7,7,7,2,0.2857142857,-0.0044432253,-0.0028574065
板块方向,果品,上涨,2,2,2,0,0.0000000000,-0.0004873009,-0.0004873009
板块方向,油脂油料,上涨,11,11,12,5,0.4166666667,-0.0001993545,-0.0004017158
板块方向,油脂油料,下跌,4,4,4,1,0.2500000000,-0.0017202190,-0.0025485875
板块方向,烯烃塑料,上涨,5,5,10,8,0.8000000000,0.0018709487,0.0004911050
板块方向,烯烃塑料,下跌,12,12,12,9,0.7500000000,-0.0008360561,0.0008210833
板块方向,煤化工建材,上涨,4,4,4,2,0.5000000000,-0.0020305667,-0.0006648470
板块方向,聚酯产业链,上涨,10,10,11,5,0.4545454545,-0.0002398484,-0.0005552786
板块方向,能源油品,上涨,2,2,2,2,1.0000000000,0.0009443447,0.0009443447
板块方向,贵金属,下跌,2,2,2,1,0.5000000000,-0.0002703906,-0.0002703906
板块方向,软商品纺织,下跌,4,4,4,2,0.5000000000,-0.0000695561,-0.0001458936
板块方向,黑色钢矿,上涨,3,3,3,1,0.3333333333,-0.0004855073,-0.0008933624
板块方向,黑色钢矿,下跌,8,8,11,7,0.6363636364,0.0007619503,0.0003289310
