单边费率,参数,参数值,组合数,交易次数中位数,累计收益中位数,夏普中位数,正收益比例
0.0,RETURN_MULTIPLIER,1.0,50,83.5,0.0128497369108876,0.09328974688092095,0.52
0.0,RETURN_MULTIPLIER,1.5,50,65.5,0.011140082372282749,0.07368561385494721,0.58
0.0,RETURN_MULTIPLIER,2.0,50,48.5,0.02346383735165375,0.21145246775360188,0.64
0.0,RETURN_MULTIPLIER,2.5,50,36.0,0.041617872115089896,0.3965972246185373,0.74
0.0,RETURN_MULTIPLIER,3.0,50,29.0,0.05485249840943335,0.4588056346001652,0.84
0.0,RETURN_MULTIPLIER,3.5,50,19.0,0.0624795863008088,0.6484848295297243,0.96
0.0,RETURN_MULTIPLIER,4.0,50,15.5,0.0273287296658837,0.5871277303165146,0.94
0.0,RETURN_MULTIPLIER,4.5,50,13.5,0.02054132364680955,0.5697128475663562,0.88
0.0,RETURN_MULTIPLIER,5.0,50,12.0,0.026962733755045702,0.6234388742564392,0.92
0.0,OI_MULTIPLIER,0.5,45,143.0,-0.0175547655757328,-0.128062514945009,0.3333333333333333
0.0,OI_MULTIPLIER,1.0,45,106.0,-0.0018973714660033,-0.0031928900631953,0.4666666666666667
0.0,OI_MULTIPLIER,1.5,45,83.0,0.049310447793565,0.3457589853492121,0.8888888888888888
0.0,OI_MULTIPLIER,2.0,45,54.0,0.0333526253544871,0.4369330838935157,0.7555555555555555
0.0,OI_MULTIPLIER,2.5,45,32.0,0.0521113220749485,0.5097286584382773,0.8222222222222222
0.0,OI_MULTIPLIER,3.0,45,24.0,0.0449762385816332,0.6143386607398197,0.9111111111111111
0.0,OI_MULTIPLIER,3.5,45,17.0,0.0265696074524421,0.483121171205235,0.8888888888888888
0.0,OI_MULTIPLIER,4.0,45,14.0,0.0294277879084658,0.4993246170029787,0.8888888888888888
0.0,OI_MULTIPLIER,4.5,45,11.0,0.0316656864501492,0.5021909481830326,0.8888888888888888
0.0,OI_MULTIPLIER,5.0,45,9.0,0.0322170818892288,0.5381789986517497,0.9555555555555556
0.0,CORRELATION_THRESHOLD,0.5,90,49.0,0.0487735391425523,0.48870641168920714,0.9
0.0,CORRELATION_THRESHOLD,0.6,90,39.5,0.050039130835182896,0.5004134734925638,0.9111111111111111
0.0,CORRELATION_THRESHOLD,0.7,90,32.5,0.04218444629685,0.4473797194792863,0.8777777777777778
0.0,CORRELATION_THRESHOLD,0.8,90,20.0,0.0170078041617333,0.2989699796837782,0.7777777777777778
0.0,CORRELATION_THRESHOLD,0.9,90,11.0,-0.00391693560634315,-0.18026745994246945,0.43333333333333335
0.0001,RETURN_MULTIPLIER,1.0,50,83.5,0.00485124267206225,0.0389623823334212,0.52
0.0001,RETURN_MULTIPLIER,1.5,50,65.5,0.002708177122918,0.0336166938756809,0.52
0.0001,RETURN_MULTIPLIER,2.0,50,48.5,0.01890901425227795,0.17268519334536575,0.62
0.0001,RETURN_MULTIPLIER,2.5,50,36.0,0.03826343803530325,0.3445439858581506,0.7
0.0001,RETURN_MULTIPLIER,3.0,50,29.0,0.05157097048788705,0.40623441683378175,0.84
0.0001,RETURN_MULTIPLIER,3.5,50,19.0,0.06100574162786735,0.6197198491371787,0.96
0.0001,RETURN_MULTIPLIER,4.0,50,15.5,0.0238510012165502,0.5794803413382716,0.94
0.0001,RETURN_MULTIPLIER,4.5,50,13.5,0.0175236328739878,0.5534866819490455,0.88
0.0001,RETURN_MULTIPLIER,5.0,50,12.0,0.0247932305434566,0.6127610973286559,0.92
0.0001,OI_MULTIPLIER,0.5,45,143.0,-0.023045292083806,-0.1819738129814683,0.3111111111111111
0.0001,OI_MULTIPLIER,1.0,45,106.0,-0.0039443887124669,-0.0421869794970205,0.4444444444444444
0.0001,OI_MULTIPLIER,1.5,45,83.0,0.0386009913002067,0.269068739837224,0.8666666666666667
0.0001,OI_MULTIPLIER,2.0,45,54.0,0.0236055633076628,0.4032565622896816,0.7111111111111111
0.0001,OI_MULTIPLIER,2.5,45,32.0,0.0433444136155343,0.4914054575753339,0.8222222222222222
0.0001,OI_MULTIPLIER,3.0,45,24.0,0.0435232770761793,0.5978066838341924,0.8888888888888888
0.0001,OI_MULTIPLIER,3.5,45,17.0,0.0247332785736731,0.4588255409577408,0.8888888888888888
0.0001,OI_MULTIPLIER,4.0,45,14.0,0.0281990233714812,0.478878627715835,0.8888888888888888
0.0001,OI_MULTIPLIER,4.5,45,11.0,0.0306408120610948,0.4878273241832213,0.8888888888888888
0.0001,OI_MULTIPLIER,5.0,45,9.0,0.0313980456462303,0.5288991109755146,0.9555555555555556
0.0001,CORRELATION_THRESHOLD,0.5,90,49.0,0.04390665974049095,0.4661827242128471,0.8888888888888888
0.0001,CORRELATION_THRESHOLD,0.6,90,39.5,0.04470986850104225,0.46868241590889403,0.8888888888888888
0.0001,CORRELATION_THRESHOLD,0.7,90,32.5,0.03942761456001305,0.3993242175480469,0.8777777777777778
0.0001,CORRELATION_THRESHOLD,0.8,90,20.0,0.013233495805425051,0.2714794825315806,0.7444444444444445
0.0001,CORRELATION_THRESHOLD,0.9,90,11.0,-0.00467846515108975,-0.20657204608130825,0.43333333333333335
